"filename", "language", "Markdown", "Dart", "YAML", "Groovy", "Properties", "JSON", "XML", "C++", "Swift", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/.github/ISSUE_TEMPLATE/bug_report.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/.vscodecounter/2021-10-16_22-39-55/details.md", "Markdown", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 130
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/.vscodecounter/2021-10-16_22-39-55/results.md", "Markdown", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 81
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/CODE_OF_CONDUCT.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/build.gradle", "Groovy", 0, 0, 0, 50, 0, 0, 0, 0, 0, 3, 11, 64
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/google-services.json", "JSON", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 46
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 1, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 11, 1, 25
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/drawable-night-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/drawable-night/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 9, 0, 19
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 9, 0, 19
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 1, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/build.gradle", "Groovy", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/gradle.properties", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/settings.gradle", "Groovy", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/flutter_launcher_icons.yaml", "YAML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/flutter_native_splash.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Flutter/AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 53
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"/Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
